id,category,question,answer_a,answer_b,answer_c,correct,correct_answer
97,Eksploatacja oraz manewrowanie jachtem,Podczas holowania jachtu z brzegu (np. na kanale) linę holowniczą dla ułatwienia sterowania należy zamocować?,Na dziobie jachtu,W okolicy masztu jachtu,Nie ma znaczenia gdzie jest zamocowana,A,Na dziobie jachtu
98,Eksploatacja oraz manewrowanie jachtem,Chcemy przestawić duży i ciężki jacht wzdłuż nabrzeża w kierunku dziobu jachtu. Najlepiej w tej sytuacji do przesuwania jachtu użyć:,Tylko cumy dziobowej,Liny zamocowanej do masztu,Cumy dziobowej i szpringu rufowego,C,Cumy dziobowej i szpringu rufowego
99,Eksploatacja oraz manewrowanie jachtem,Przy wejściu do portu zaobserwowano znak jak na rysunku. Co on oznacza i jak postąpić?,"Oznacza ""Marinę"" dla jachtów, można wpływać.","Zakaz wejścia dla jednostek sportowych, nie wpływać.",Zakaz żeglugi dla skuterów wodnych i szybkich łodzi motorowych.,B,"Zakaz wejścia dla jednostek sportowych, nie wpływać."
100,Eksploatacja oraz manewrowanie jachtem,Na bocznej odnodze szlaku żeglownego ustawiona jest tablica jak na rysunku. Czy można tam wpływać?,"Tak, oznacza zezwolenie przejścia.","Nie, oznacza rezerwat przyrody - nie można wpływać.","Nie, oznacza akwen hodowli ryb - nie można wpływać.",A,"Tak, oznacza zezwolenie przejścia."
101,Podstawy locji i pomoce nawigacyjne,Na polskiej mapie morskiej naniesione są oznaczenia jak na rysunku obok. Co one oznaczają?,Głębokości odpowiednio 25m i 34m.,"Głębokości odpowiednio 2,5m i 3,4m.","Głębokości odpowiednio 2 sążnie i 5 stóp, 3 sążnie 4 stopy.",B,"Głębokości odpowiednio 2,5m i 3,4m."
102,Podstawy locji i pomoce nawigacyjne,Na brzegu zaobserwowano tablicę jak na rysunku obok. Co ona oznacza i jak postąpić?,Uwaga - most o wysokości przęsła nad wodą podanej na znaku (12 m).,Zakaz ruchu statków o mocy silnika (KM) podanej na znaku.,"Nakaz nie przekraczania prędkości 12 km/h, dostosować szybkość.",C,"Nakaz nie przekraczania prędkości 12 km/h, dostosować szybkość."
103,Podstawy locji i pomoce nawigacyjne,"Zaobserwowano znak przedstawiony na rysunku, Co on oznacza?",Nakaz zachowania szczególnej ostrożności.,Zakaz ruchu statków żaglowych.,Nakaz nadania sygnału dźwiękowego.,A,Nakaz zachowania szczególnej ostrożności.
104,Podstawy locji i pomoce nawigacyjne,Nabieżnik jest to:,Para wbitych w dno pali służących do cumowania,Betonowy słup lub inny charakterystyczny znak stojący na lądzie,Para staw albo innych stałych obiektów wyznaczająca kierunek,C,Para staw albo innych stałych obiektów wyznaczająca kierunek
105,Podstawy locji i pomoce nawigacyjne,Przedstawione na rysunku znaki oznaczają:,Przebieg szlaku wzdłuż lewego brzegu,Przebieg szlaku wzdłuż prawego brzegu,Miejsce niebezpieczne na lewym brzegu,B,Przebieg szlaku wzdłuż prawego brzegu
106,Podstawy locji i pomoce nawigacyjne,Na Zatoce Gdańskiej zaobserwowano jeden ze znaków jak na rysunku. Co oznacza i jak postąpić?,"Akwen zakazany, nie wpływać poza znak","Rezerwat przyrodniczy, nie wolno kotwiczyć","Oś lub początek toru wodnego (tzw. znak bezpiecznej wody), Obserwować dalsze znaki toru wodnego i płynąć wg. nich",C,"Oś lub początek toru wodnego (tzw. znak bezpiecznej wody), Obserwować dalsze znaki toru wodnego i płynąć wg. nich"
107,Podstawy locji i pomoce nawigacyjne,Jakim znakiem oznaczony jest slip (pochylnia) przeznaczony do wyciągania jachtów z wody?,Znakiem nr 1,Znakiem nr 2,Znakiem nr 3,A,Znakiem nr 1
108,Podstawy locji i pomoce nawigacyjne,Wpływając do portu Jastarnia na Zatoce Gdańskiej kursem na północ zieloną pławę pozostawiamy:,Po prawej burcie,Po lewej burcie,"Obojętne, bo jest to pława wyznaczająca środek farwateru.",A,Po prawej burcie
109,Podstawy locji i pomoce nawigacyjne,Cumując w śluzie należy:,Obłożyć dokładnie cumy na urządzeniach do cumowania tak aby powstałe zawirowania wody i prąd nie porwał jachtu,W ogóle nie zakładać cum ze względu na zmiany poziomu wody lecz cały czas odpychać się bosakiem i pagajami od brzegów komory śluzy,"Założyć cumy na biegowo, luzować lub wybierać je w miarę podnoszenia lub obniżania lustra wody.",C,"Założyć cumy na biegowo, luzować lub wybierać je w miarę podnoszenia lub obniżania lustra wody."
110,Podstawy locji i pomoce nawigacyjne,Przed mostami zwodzonymi jedno lub więcej świateł czerwonych umieszczonych poziomo oznacza:,Zakaz przejścia,Przygotować się do przejścia,Otwieranie mostu okresowo wstrzymane.,A,Zakaz przejścia
111,Podstawy locji i pomoce nawigacyjne,Płynąc rzeką z prądem zaobserwowano boję stożkową o trudnym do rozpoznania kolorze. Co może oznaczać i jak ją minąć?,"Prawą stronę szlaku żeglownego, minąć prawą burtą","Lewą stronę szlaku żeglownego, minąć lewą burtą","Lewą stronę szlaku żeglownego, minąć prawą burtą",B,"Lewą stronę szlaku żeglownego, minąć lewą burtą"
112,Podstawy locji i pomoce nawigacyjne,W przesmyku między jeziorami zaobserwowano dwie tyki ze znakami jak na rysunku. Co one oznaczają i jak się zachować?,Między znakami jest przeszkoda. Omijać po stronie białych trójkątów,Zalecone przejście pomiędzy znakami (między zielonymi trójkątami),Każdy znak oznacza odosobnione niebezpieczeństwo. Mijać dowolnie,B,Zalecone przejście pomiędzy znakami (między zielonymi trójkątami)
113,Podstawy locji i pomoce nawigacyjne,"Na kanale zaobserwowano cztery jachty zacumowane po dwa burta w burtę, a na brzegu znaki jak na rysunku. Czy możemy za zgodą jednego z tych jachtów zacumować do jego burty?","Tak, jest to dozwolone","Nie, dozwolone jest cumowanie tylko czterech jachtów","Nie, te jachty zacumowały nieprawidłowo, niedozwolone jest cumowanie burta w burtę",A,"Tak, jest to dozwolone"
114,Podstawy locji i pomoce nawigacyjne,Jednym z elementów regulacji rzeki jest ostroga; jest ona budowlą:,Usytuowaną poprzecznie do przepływu rzeki,Usytuowaną równolegle do przepływu rzeki,Położoną w środku koryta rzeki.,A,Usytuowaną poprzecznie do przepływu rzeki
115,Podstawy locji i pomoce nawigacyjne,Na kanale zaobserwowano ustawione znaki jak na rysunku. Co one oznaczają?,Dozwolony postój - punkt zdawania ścieków,Dozwolony postój w stronę wskazaną białym trójkątem - punkt tankowania wody pitnej,Dozwolony postój tylko dla statków wiozących ładunki ciekłe.,B,Dozwolony postój w stronę wskazaną białym trójkątem - punkt tankowania wody pitnej
116,Podstawy locji i pomoce nawigacyjne,Żeglując prawą stroną toru wodnego zauważono blisko brzegu znak jak na rysunku. Co on oznacza i jak się zachować?,Miejsce dogodne do zacumowania. Można podejść blisko lub cumować,Ostrzeżenie o dużym ruchu. Żeglować ostrożnie,Miejsce niebezpieczne przy prawym brzegu. Ominąć w bezpiecznej odległości,C,Miejsce niebezpieczne przy prawym brzegu. Ominąć w bezpiecznej odległości
117,Podstawy locji i pomoce nawigacyjne,Żeglując po jeziorze zaobserwowano statek który podniósł sygnał jak na rysunku (biała kula). Co on oznacza i jak się zachować?,Statek stoi na kotwicy. Mijać nie za blisko,Na akwenie odbywają się zawody sportowe (np. regaty) Nie wpływać oddalić się od tego akwenu.,Statek dryfuje. Mijać po stronie nawietrznej8,B,Na akwenie odbywają się zawody sportowe (np. regaty) Nie wpływać oddalić się od tego akwenu.
118,Podstawy locji i pomoce nawigacyjne,Jacht zbliża się do mostu zwodzonego. Na moście zaobserwowano sygnał jak na rysunku. Jak należy się zachować?,"Most uszkodzony, zakaz przejścia",Otwarcie mostu nastąpi za dwie godziny,"Nie należy przepływać pod mostem, ale należy przygotować się do tego",C,"Nie należy przepływać pod mostem, ale należy przygotować się do tego"
119,Podstawy locji i pomoce nawigacyjne,"Jacht o wysokości masztu 8m, szerokości 4m i zanurzeniu 1m, zaobserwował przy wejściu do kanału tablice jak na rysunku. Jak należy postąpić?","Nie da się przejść, należy zawrócić",Można przejść po położeniu masztu,Można przejść nie ma przeszkód,B,Można przejść po położeniu masztu
120,Podstawy locji i pomoce nawigacyjne,Na brzegu zaobserwowano znak jak na rysunku. Jak należy się zachować?,"Uwaga, mogą przepływać szybkie łodzie motorowe i skutery wodne.","Zmniejszyć szybkość, aby nie wytwarzać fali","Nierówna linia brzegowa, spłycenia, zachować ostrożność",B,"Zmniejszyć szybkość, aby nie wytwarzać fali"
121,Podstawy locji i pomoce nawigacyjne,Czy pod stałymi mostami można przepływać w dowolnym miejscu?,"Nie, można przepływać tylko po zaobserwowaniu sygnału wolnego przejścia","Tak, po upewnieniu się czy wysokość mostu jest wystarczająca i pod oznakowanym przęsłem.","Tak, w dowolnym miejscu jeżeli wysokość mostu jest wystarczająca",B,"Tak, po upewnieniu się czy wysokość mostu jest wystarczająca i pod oznakowanym przęsłem."
122,Podstawy locji i pomoce nawigacyjne,Płynąc kanałem zaobserwowano znak jak na rysunku. Jeżeli na trójkącie z prawej strony znaku znajduje się liczba to co ona oznacza?,Liczbę jednostek które mogą tu cumować,Odległość w m określająca długość odcinka do cumowania,Głębokość przy nabrzeżu przeznaczonym do cumowania,B,Odległość w m określająca długość odcinka do cumowania
123,Podstawy locji i pomoce nawigacyjne,Jacht na jeziorze Śniardwy płynie na południe w kierunku miejscowości Pisz. Na kursie zaobserwowano stożkową pławę (1) a kilkadziesiąt metrów dalej pławę jak na rysunku (2). Jak mijać te znaki?,"Pławę zieloną (1) lewą burtą, pławę (2) też lewą burtą","Pławę zieloną (1) prawą burtą, pławę (2) lewą burtą","Pławę zieloną (1) prawą burtą, pławę (2) też prawą burtą",C,"Pławę zieloną (1) prawą burtą, pławę (2) też prawą burtą"
124,Podstawy locji i pomoce nawigacyjne,Płynąc wzdłuż brzegu jeziora zaobserwowano na brzegu znak jak na rysunku. Co on oznacza ?,Punkt nadawania ostrzeżeń meteorologicznych,Wejście do kanału - po lewej stronie znaku,Wejście do kanału - po prawej stronie znaku,C,Wejście do kanału - po prawej stronie znaku
125,Podstawy locji i pomoce nawigacyjne,Na wejściu do kanału zaobserwowano znak jak na rysunku. Co on oznacza?,Zakaz przejścia,Nakaz zrzucenia żagli,Zakaz cumowania po prawej stronie,A,Zakaz przejścia
126,Podstawy locji i pomoce nawigacyjne,Na odnodze kanału żeglownego zaobserwowano znak jak na rysunku. Co oznacza i jak się zachować?,"Śluza, płynąć i obserwować sygnały","Jaz, niebezpieczeństwo, może być silny prąd, upewnić się czy można przepływać.",Przystań można zacumować przy nabrzeżu,B,"Jaz, niebezpieczeństwo, może być silny prąd, upewnić się czy można przepływać."
127,Podstawy locji i pomoce nawigacyjne,Budowla hydrotechniczna pozwalająca na przechodzenie jednostek z akwenu o wyższym poziomie wody do akwenu o niższym poziomie lub odwrotnie to:,Śluza komorowa,Jaz,Zapora,A,Śluza komorowa
128,Podstawy locji i pomoce nawigacyjne,Gdzie można znaleźć informacje o kierunkach oznakowania nawigacyjnego na śródlądowych drogach wodnych?,Na mapach turystycznych,W załączniku nr 9 do przepisów żeglugowych na śródlądowych drogach wodnych (Rozporządzenie Ministra Infrastruktury z 28.04.2003 r),W Rozporządzeniu Ministra Sportu i Turystyki w sprawie uprawiania turystyki wodnej,B,W załączniku nr 9 do przepisów żeglugowych na śródlądowych drogach wodnych (Rozporządzenie Ministra Infrastruktury z 28.04.2003 r)
129,Podstawy locji i pomoce nawigacyjne,Jacht o długości 8 m i wysokości masztu 14 m wpływa do kanału. Na brzegu ustawione są znaki jak na rysunku. Co należy zrobić?,"Nie ma przeszkód, płynąć dalej",Położyć maszt i płynąć dalej,Nie da się przejść jacht jest za długi,B,Położyć maszt i płynąć dalej
130,Podstawy locji i pomoce nawigacyjne,W systemie kardynalnym pławy ustawia się w stosunku do niebezpieczeństwa:,"zawsze 4 pławy: na N, na S, na W i na E od niebezpieczeństwa","W zależności od położenia i wielkości niebezpieczeństwa jedną lub więcej pław odpowiednio na N, S, W czy E od niebezpieczeństwa",Tylko dwie pławy na N i S lub E i W od niebezpieczeństwa,B,"W zależności od położenia i wielkości niebezpieczeństwa jedną lub więcej pław odpowiednio na N, S, W czy E od niebezpieczeństwa"
131,Podstawy locji i pomoce nawigacyjne,Jacht po wpłynięciu z przesmyku między jeziorami Zaobserwował pławę jak na rysunku. Co ona oznacza?,"Płyciznę, którą można mijać z obu stron",Rozwidlenie szlaku żeglownego,"Akwen hodowli ryb, nie wpływać",B,Rozwidlenie szlaku żeglownego
132,Podstawy locji i pomoce nawigacyjne,Jacht płynąc kanałem zauważył znak jak na rysunku. Co on oznacza?,Dozwolone cumowanie,Zakaz cumowania,Parking tylko dla łodzi motorowych,A,Dozwolone cumowanie
133,Podstawy locji i pomoce nawigacyjne,W pobliżu brzegu zaobserwowano kilka boi jak na rysunku. Co one oznaczają i jak się zachować?,Akwen dozwolony do żeglugi tylko z małą prędkością,Akwen zamknięty. Nie wpływać,"Niedozwolona żegluga pod żaglami, można płynąć na wiosłach.",B,Akwen zamknięty. Nie wpływać
134,Podstawy locji i pomoce nawigacyjne,Zbliżając się do mostu na kanale zaobserwowano taki znak. Co on oznacza?,"Zakaz przejścia jachtów o długości powyżej 7,5 m","Wysokość przejścia nad linią wody 7,5 m","Zakaz cumowania jachtów o długości 7,5 m",B,"Wysokość przejścia nad linią wody 7,5 m"
135,Podstawy locji i pomoce nawigacyjne,Płynąc kanałem zaobserwowano taki znak. Jak postępować?,Obserwować czy nie przepływa prom i ewentualnie ustąpić z drogi,Znak oznacza przystań - można ewentualnie cumować,Małe statki mają pierwszeństwo przejścia,A,Obserwować czy nie przepływa prom i ewentualnie ustąpić z drogi
136,Podstawy locji i pomoce nawigacyjne,Płynąc kanałem zaobserwowano taki znak. Co oznacza?,Uwaga przeszkoda podwodna,Nakaz dawania sygnału dźwiękowego,Zakaz zatrzymywania się,B,Nakaz dawania sygnału dźwiękowego
137,Podstawy locji i pomoce nawigacyjne,Przy wyjściu z kanału zaobserwowano taki znak. Co oznacza?,Nakaz żeglugi na silniku,Zakaz żeglugi na silniku,Dozwolone pływanie na silniku małej mocy,B,Zakaz żeglugi na silniku
138,Podstawy locji i pomoce nawigacyjne,Wchodząc do śluzy najważniejsze jest przygotowanie:,Kotwicy do rzucenia,Dwóch długich cum,Koła ratunkowego z rzutką,B,Dwóch długich cum
139,Podstawy locji i pomoce nawigacyjne,Na kursie jachtu zaobserwowano jeden z pokazanych znaków. Jak go można minąć?,Tylko lewą burtą,Tylko prawą burtą,W dowolny sposób prawą lub lewą burtą,C,W dowolny sposób prawą lub lewą burtą
140,Podstawy locji i pomoce nawigacyjne,"Żeglujemy na Zalewie Szczecińskim. W locji znaleźliśmy informację, że do portu Stepnica należy wchodzić w nabieżniku - stawa dolna z rombem, stawa górna z trójkątem. Zaobserwowano nabieżnik jak na rysunku. Jak zmienić kurs aby wejść w linię nabieżnika?",W prawo,Nie należy zmieniać kursu,W lewo,C,W lewo
141,Podstawy locji i pomoce nawigacyjne,Co oznacza taki znak na kanale?,Zakaz cumowania,Dozwolone cumowanie,Punkt poboru wody,B,Dozwolone cumowanie
142,Podstawy locji i pomoce nawigacyjne,Co oznacza ten znak?,Nakaz żeglugi tylko z jednym żaglem,Pierwszeństwo przejścia dla jachtów żaglowych,Zakaz żeglugi pod żaglami,C,Zakaz żeglugi pod żaglami
143,Podstawy locji i pomoce nawigacyjne,Co oznacza ten znak i jak się zachować?,"Przystań statków pasażerskich, mijać daleko",Prom na uwięzi. Mijać za rufą nie za blisko,Dozwolone cumowanie dla jachtów,B,Prom na uwięzi. Mijać za rufą nie za blisko
144,Podstawy locji i pomoce nawigacyjne,Znak zezwalający na wejście do śluzy to:,Jedno zielone światło,Dwa światła czerwone,Światło czerwone i zielone obok siebie,A,Jedno zielone światło
145,Podstawy locji i pomoce nawigacyjne,Na moście stałym zaobserwowano znak jak na rysunku. Jak przechodzić pod mostem?,Przechodzić pod mostem trzymając się prawej strony,Przechodzić w dowolny sposób bo to przejście jednokierunkowe,Oczekiwać na sygnał zezwalający na przejście,A,Przechodzić pod mostem trzymając się prawej strony
146,Podstawy locji i pomoce nawigacyjne,"Płynąc rzeką wzdłuż lewego brzegu widzisz jeden ze znaków pokazanych na rysunku, wtedy powinieneś:","Zatrzymać się przy brzegu i złożyć maszt, w pobliżu most","Spodziewać się przejścia szlaku żeglownego na prawy brzeg, odpowiednio zmienić kurs",Że szlak żeglowny przebiega przy lewym brzegu.,B,"Spodziewać się przejścia szlaku żeglownego na prawy brzeg, odpowiednio zmienić kurs"
147,Podstawy locji i pomoce nawigacyjne,Co oznacza pokazana tablica?,Zakaz żeglugi na silniku,Dozwolone pływanie na silniku,Nakaz żeglugi na silniku,B,Dozwolone pływanie na silniku
148,Podstawy locji i pomoce nawigacyjne,Jakie minimum pomocy nawigacyjnych należy mieć na jachcie żeglującym na Zatoce Gdańskiej?,"Mapę, locję akwenu i kompas",Sekstant i Rocznik Astronomiczny,Spis radiostacji i Locje Bałtyku,A,"Mapę, locję akwenu i kompas"
149,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Gdy mały statek idący pod żaglami prawym halsem idzie kursem przecinającym się z kursem małego statku idącego pod żaglami lewym halsem tak, że istnieje ryzyko zderzenia to powinien:",Zachować kurs i szybkość,Ustąpić z drogi,Zmniejszyć szybkość,A,Zachować kurs i szybkość
150,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Jacht żaglowy idzie do wejścia do kanału odległego ok. 300 m. Statek pasażerski wychodzący z kanału na wprost jachtu dał sygnał dźwiękowy dwa krótkie. Co powinien zrobić jacht?,Kontynuować swój kurs,Zmienić swój kurs w prawo,Zatrzymać się i rzucić kotwicę,A,Kontynuować swój kurs
151,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Jacht żaglowy idący pod żaglami i na silniku jest traktowany jako:,Jacht motorowy,Jacht żaglowy,Jacht żaglowo - motorowy,A,Jacht motorowy
152,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Jacht pod żaglami na zatoce Gdańskiej płynie kursem przecinającym się z kursem niewielkiego statku o napędzie mechanicznym, tak, że powoduje to ryzyko zderzenia. Statek ten niesie sygnał dwa czarne stożki wierzchołkami do siebie. Jakie działanie powinien podjąć jacht?",Utrzymać kurs i szybkość,Przejść mu blisko za rufą,Ominąć go z daleka,C,Ominąć go z daleka
153,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Statek żaglowy o długości 8 m, idący pod żaglami na wodach śródlądowych powinien ustąpić:",Statkowi pasażerskiemu o nap. mech.,Motorówce o długości ok. 10 m,Łodzi wiosłowej w ruchu,A,Statkowi pasażerskiemu o nap. mech.
154,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Jacht żaglowy o długości mniejszej niż 7 m w myśl obowiązujących przepisów jest uważany za:,Statek żaglowy,mały statek żaglowy,Statek bez napędu,B,mały statek żaglowy
155,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Wody śródlądowe. Statek pasażerski o długości mniejszej niż 20 m z podniesionym znakiem jak na rysunku jest uważany w myśl przepisów za:,Statek,Mały statek,Statek motorowy,B,Mały statek
156,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Osoba prowadząca jacht żaglowy o długości 8 m po śródlądowych drogach wodnych powinna posiadać:,Książeczkę żeglarską,Patent co najmniej żeglarza jachtowego,Zaświadczenie o ukończeniu kursu żeglarskiego,B,Patent co najmniej żeglarza jachtowego
157,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Na wodach Zatoki Gdańskiej na kursie zaobserwowano statek który podniósł sygnał jak na rysunku. Co należy zrobić?,Nie zbliżać się bliżej niż 2 Mm,Minąć go daleko przed dziobem,Minąć go z dowolnej strony w bezpiecznej odległości.,C,Minąć go z dowolnej strony w bezpiecznej odległości.
158,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Które z odpadów są najbardziej szkodliwe dla środowiska?,Odpady organiczne (resztki żywności itp.),Opakowania papierowe,Odpady (opakowania itp.) z tworzyw sztucznych,C,Odpady (opakowania itp.) z tworzyw sztucznych
159,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Poza torem wodnym na otwartych wodach Zatoki Gdańskiej jacht pod żaglami idzie kursem przecinającym się z kursem małego statku pasażerskiego, tak, że powoduje to ryzyko zderzenia. Jaki manewr powinien podjąć?",Przejść mu za rufą,Zmniejszyć szybkość i przepuścić go przed dziobem,Utrzymać kurs i prędkość,C,Utrzymać kurs i prędkość
160,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Na podejściu do portu Gdańsk jacht zaobserwował statek, który podniósł sygnały jak na rysunku. Jak go wyminąć?",Z dowolnej strony,Od strony wystawionych kul,Od strony wystawionych rombów,C,Od strony wystawionych rombów
161,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Wody śródlądowe. Statek pasażerski nadał serię podwójnych krótkich dźwięków. Co to oznacza?,Nie mogę manewrować,Niebezpieczeństwo zderzenia,Człowiek za burtą,C,Człowiek za burtą
162,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Piętnastoletnia osoba posiadająca stopień żeglarza jachtowego jest uprawniona do prowadzenia jachtów na wodach śródlądowych o powierzchni ożaglowania:,"Do 10 m2 żagla,","Dowolnej,","Do 20 m2 żagla, pod nadzorem.",B,"Dowolnej,"
163,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Wody śródlądowe. Mały statek płynący pod żaglami powinien ustąpić:,"Statkowi pasażerskiemu o napędzie mechanicznym,","Małemu statkowi o napędzie mechanicznym,",Wodolotowi płynącemu z duża prędkością.,A,"Statkowi pasażerskiemu o napędzie mechanicznym,"
164,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Jacht żaglowy płynący na żaglach i na silniku w dzień powinien nosić:,Czarną kulę,Czarny stożek skierowany wierzchołkiem w dół.,Czerwoną kulę.,B,Czarny stożek skierowany wierzchołkiem w dół.
165,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Wody śródlądowe. W czasie manewru wyprzedzania jachtu żaglowego, jacht który wyprzedza powinien z zasady wyprzedzać:",Jacht wyprzedzany po jego stronie zawietrznej w bezpiecznej odległości,"W sposób uzgodniony z prowadzącym jacht wyprzedzany,",Jacht wyprzedzany po jego stronie nawietrznej w bezpiecznej odległości,C,Jacht wyprzedzany po jego stronie nawietrznej w bezpiecznej odległości
166,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Wody śródlądowe. Na burcie stojącego statku wywieszono sygnał jak na rysunku. Z której strony należy minąć ten statek?,"Nie wolno mijać takiego statku,","Można minąć z obu stron, ostrożnie, nie wytwarzając fali",Tylko od strony flagi czerwono-białej,C,Tylko od strony flagi czerwono-białej
167,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Prowadzący jacht w celu uniknięcia bezpośrednio grożącego niebezpieczeństwa zderzenia (szczególnie kiedy niezbędna jest szybka reakcja):,Może odstąpić od przestrzegania przepisów po uzgodnieniu z drugą jednostką,"Nigdy nie może naruszać przepisów,",Może odstąpić od przestrzegania obowiązujących przepisów żeglugowych.,C,Może odstąpić od przestrzegania obowiązujących przepisów żeglugowych.
168,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Jacht żaglowy wyprzedzający inny jacht żaglowy,"ma prawo drogi względem jachtu, który wyprzedza",może go ominąć tylko po uzyskaniu jego zgody,ustępuje jachtowi wyprzedzanemu omijając go w bezpiecznej odległości,C,ustępuje jachtowi wyprzedzanemu omijając go w bezpiecznej odległości
169,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Statek żaglowy płynący prawym halsem po otwartych wodach morskich ustępuje:,"Statkowi handlowemu o napędzie mechanicznym,","Statkowi rybackiemu zajętemu połowem,",Statkowi żaglowemu płynącemu lewym halsem.,B,"Statkowi rybackiemu zajętemu połowem,"
170,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Na kursie jachtu jest jednostka, która podniosła sygnał jak na rysunku. Jak ją wyminąć?",Nie zbliżać się bliżej niż 2 Mm,Minąć go daleko przed dziobem,Minąć go z dowolnej strony w bezpiecznej odległości,C,Minąć go z dowolnej strony w bezpiecznej odległości
171,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Żeglarz jachtowy uprawniony jest do:,Prowadzenia po wodach morskich jachtu o długości do 12 m w odległości do 2 Mm od linii brzegowej w porze dziennej,"Prowadzenia jachtów o długości do 10 m w odległości do 10 Mm od linii brzegowej,",Prowadzenia jachtów o długości do 24 m po wodach morskich w porze dziennej.,A,Prowadzenia po wodach morskich jachtu o długości do 12 m w odległości do 2 Mm od linii brzegowej w porze dziennej
172,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Jeden długi dźwięk nadany przez statek na drodze śródlądowej oznacza:,Uwaga,Skręcam w prawo,Skręcam w lewo,A,Uwaga
173,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Statek ma wywieszony sygnał jak na rysunku. Co oznacza i jak postępować?,"Wzywam pomocy, podejść i nawiązać łączność","Mam nurka pod wodą, mijać ostrożnie","Stoję na mieliźnie, mijać daleko",B,"Mam nurka pod wodą, mijać ostrożnie"
174,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Statek zbliżający się do jachtu nadał sygnał jeden krótki, jeden długi i dwa krótkie dźwięki oraz wywiesił sygnał jak na rysunku. Co to oznacza i jak postępować?","Zatrzymajcie natychmiast swój statek, zatrzymać się","Mam zamiar wyprzedzić was po waszej lewej burcie, utrzymać kurs","Mam zamiar zawrócić w lewo, obserwować ruchy statku",A,"Zatrzymajcie natychmiast swój statek, zatrzymać się"
175,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Sygnał świetlny lub dźwiękowy składający się z grupy trzech krótkich, trzech długich i trzech krótkich świateł i/lub dźwięków oznacza:","Jeden z sygnałów manewrowych,","Sygnał na postoju we mgle,",Jeden z sygnałów wzywania pomocy.,C,Jeden z sygnałów wzywania pomocy.
176,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Który z poniższych sygnałów NIE JEST sygnałem wzywania pomocy na wodach śródlądowych:,"Zataczanie kręgów flagą lub innym podobnym przedmiotem,","Żółty romb widoczny ze wszystkich stron,",Flaga i umieszczona nad nią lub pod nią kula.,B,"Żółty romb widoczny ze wszystkich stron,"
177,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa","Na podejściu do portu podczas ciszy nastąpiła awaria silnika, jest dość duży ruch. Jaki sygnał powinien podnieść jacht?",Jedną czarną kulę,Dwie czarne kule,Czarny stożek,B,Dwie czarne kule
178,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Na jachcie płynącym na silniku z opuszczonymi żaglami banderę nosimy:,"Na topie tylnego masztu,","Pod prawym salingiem,",Na flagsztoku na rufie.,C,Na flagsztoku na rufie.
179,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Gdzie nosi się banderę na jachtach dwumasztowych o ożaglowaniu gaflowym?,"Na topie tylnego masztu,","Na flagsztoku na rufie,",Pod pikiem gafla tylnego żagla.,C,Pod pikiem gafla tylnego żagla.
180,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",O jakiej porze podnosi się banderę na jachcie stojącym w porcie?,"O wschodzie słońca,","O godzinie 08:00,",Jak kapitan wejdzie na pokład.,B,"O godzinie 08:00,"
181,"Przepisy prawa drogi, ochrona wód i etykieta jachtowa",Co mówią zasady bezpieczeństwa i etykiety na temat trzymania rąk i nóg poza burtą jachtu?,"Nie określają żadnych zasad,","Zdecydowanie zabraniają,","Zezwalają, ale tylko podczas żeglugi.",B,"Zdecydowanie zabraniają,"
